Distance from bottom platen [m]	Temperature [¡C]	True strain. radial component	True strain. axial component	Equivalent true strain	Axial strain rate [1/s]
0	819.097	0.0202654	-0.0410456	0.0389466	-0.0192548
0.000240447	824.569	0.0278585	-0.0562558	0.0541372	-0.0248138
0.000473702	829.369	0.0474812	-0.0955364	0.0933641	-0.0364546
0.000696142	833.48	0.0761571	-0.152861	0.150589	-0.0481449
0.000904541	836.92	0.112688	-0.22585	0.223462	-0.0592672
0.00109694	839.746	0.154188	-0.308808	0.306365	-0.0708511
0.00127348	842.045	0.198494	-0.397414	0.395011	-0.0835769
0.00143459	843.899	0.243633	-0.487739	0.485422	-0.0965131
0.00158176	845.39	0.288916	-0.578331	0.576181	-0.109613
0.00171586	846.581	0.335721	-0.671948	0.670007	-0.124417
0.00183781	847.523	0.383704	-0.76799	0.766164	-0.139304
0.00194813	848.261	0.430604	-0.861917	0.860178	-0.152369
0.00204886	848.84	0.474812	-0.950478	0.948813	-0.164683
0.00214109	849.289	0.515599	-1.03217	1.0305	-0.176377
0.00222634	849.635	0.552703	-1.10647	1.10474	-0.186667
0.00230556	849.897	0.58619	-1.17347	1.17163	-0.195528
0.00237966	850.09	0.615867	-1.23283	1.23084	-0.203101
0.00244962	850.226	0.64128	-1.28363	1.28147	-0.209101
0.00251608	850.312	0.661736	-1.3245	1.32216	-0.213231
0.00258003	850.357	0.676306	-1.3536	1.35113	-0.215723
0.00264237	850.363	0.68402	-1.36902	1.36648	-0.216603
0.00270418	850.334	0.684099	-1.36918	1.3667	-0.215259
0.00276655	850.268	0.67629	-1.35359	1.35125	-0.21161
0.00283051	850.164	0.66092	-1.32287	1.32075	-0.206259
0.00289732	850.014	0.638676	-1.2784	1.2765	-0.199326
0.00296789	849.811	0.610503	-1.22203	1.22031	-0.190713
0.00304324	849.544	0.577438	-1.15585	1.15422	-0.180975
0.00312427	849.2	0.540163	-1.08122	1.07962	-0.170606
0.00321223	848.759	0.49931	-0.999409	0.997782	-0.159714
0.00330777	848.2	0.455412	-0.91149	0.909808	-0.14826
0.0034131	847.49	0.40873	-0.817992	0.816231	-0.135634
0.00352829	846.599	0.359561	-0.719517	0.717653	-0.121817
0.00365644	845.47	0.308928	-0.6182	0.616176	-0.10772
0.00379853	844.045	0.258872	-0.518106	0.515889	-0.0941144
0.0039556	842.262	0.209791	-0.41991	0.417571	-0.0811482
0.00412895	840.036	0.161917	-0.32416	0.321767	-0.0689152
0.00431922	837.281	0.117462	-0.235306	0.232962	-0.0578486
0.00452612	833.911	0.0787869	-0.158036	0.155815	-0.0472863
0.00474791	829.861	0.0488338	-0.0982006	0.09605	-0.0361601
0.00498074	825.12	0.0290384	-0.0585907	0.0564778	-0.0251501
0.00522054	819.711	0.0215892	-0.0436472	0.0415737	-0.0199091
